"1","perfume","n.香水"
"2","permanent","adj.永久的"
"3","permission","n.许可"
"4","personal information","n.个人信息"
"5","pesticide","n.杀虫剂"
"6","pharmacy","n.药房"
"7","high","adj.高的"
"8","physical","adj.身体的、物理的"
"9","picnic","n.野餐"
"10","healthy","adj.健康的"
"11","pirate","n.海盗"
"12","heal","v.治愈"
"13","play","v.玩、演奏 / n.戏剧"
"14","harp","n.竖琴"
"15","guessing","n.猜测"
"16","guarding","n.守卫"
"17","grave","n.坟墓"
"18","policy","n.政策"
"19","good","adj.好的"
"20","pond","n.池塘"
"21","generator","n.发电机"
"22","portable","adj.便携的"
"23","position","n.位置、职位"
"24","postcode","n.邮政编码"
"25","fox","n.狐狸"
"26","folded","adj.折叠的"
"27","practical","adj.实际的"
"28","fluent","adj.流利的"
"29","presentation","n.演讲、展示"
"30","preservation","n.保护、保存"
"31","pressure","n.压力"
"32","price","n.价格"
"33","print","v.打印 / n.印刷品"
"34","flood","n.洪水"
"35","floated","v.漂浮的"
"36","fixing","n.修理"
"37","fitter","n.安装工、技工"
"38","project","n.项目"
"39","publishing","n.出版业"
"40","puzzle","n.谜题"
"41","feeding","n.喂养"
"42","railway track","n.铁轨"
"43","rainwater","n.雨水"
"44","rare","adj.稀有的"
"45","rat","n.老鼠"
"46","realism","n.现实主义"
"47","fax","n.传真"
"48","eye contact","n.眼神交流"
"49","existing","adj.现有的"
"50","referee","n.裁判"
