"1","bath","n.洗澡、浴缸"
"2","journalist","n.记者"
"3","delay","n.延迟"
"4","blond","adj.金发的"
"5","constant","adj.持续的、不变的"
"6","predictable","adj.可预见的"
"7","festival","n.节日"
"8","comet","n.彗星"
"9","thermometer","n.温度计"
"10","telegraph","n.电报"
"11","Tesla","n.特斯拉"
"12","wifi","n.无线网络"
"13","regional","adj.地区的"
"14","drummer","n.鼓手"
"15","parade","n.游行"
"16","violin","n.小提琴"
"17","disturbing","adj.令人不安的"
"18","clarinet","n.单簧管"
"19","physics","n.物理学"
"20","Olympic","adj.奥林匹克的"
"21","cabin","n.小屋、船舱"
"22","marble","n.大理石"
"23","wine","n.葡萄酒"
"24","choose","v.选择"
"25","lecture","n.讲座、演讲"
"26","crow","n.乌鸦"
"27","cliff","n.悬崖"
"28","new","adj.新的"
"29","self","n.自我"
"30","tongue","n.舌头、语言"
"31","contact","n.联系"
"32","step","n.台阶、步骤"
"33","finance","n.金融"
"34","late","adj.迟到的、晚的"
"35","destruction","n.破坏"
"36","slavery","n.奴隶制"
"37","taxation","n.税收"
"38","tea","n.茶"
"39","side effects","n.副作用"
"40","confusion","n.困惑"
"41","smartphone","n.智能手机"
"42","unnecessary","adj.不必要的"
"43","grandparents","n.祖父母"
"44","bullying","n.霸凌"
"45","superiority","n.优越性"
"46","structural","adj.结构的"
"47","absence","n.缺席"
"48","democratic","adj.民主的"
"49","mediator","n.调解人"
"50","stamp","n.邮票"
