"1","campus","n.校园"
"2","carpet","n.地毯"
"3","cash","n.现金"
"4","chemist","n.化学家、药剂师"
"5","cheque","n.支票"
"6","code","n.代码、密码"
"7","company","n.公司"
"8","container","n.容器"
"9","crowded","adj.拥挤的"
"10","danger","n.危险"
"11","deposit","n.存款、押金"
"12","dirt","n.灰尘、污垢"
"13","discussion","n.讨论"
"14","display","n.展示"
"15","documentation","n.文件、文档"
"16","drum","n.鼓"
"17","eat","v.吃"
"18","election","n.选举"
"19","email","n.电子邮件"
"20","entertainment","n.娱乐"
"21","entrance","n.入口"
"22","European","adj.欧洲的 / n.欧洲人"
"23","evaporation","n.蒸发"
"24","flavor","n.味道"
"26","France","n.法国"
"27","fruit","n.水果"
"28","fuel","n.燃料"
"29","genetic","adj.基因的、遗传的"
"30","hair","n.头发"
"31","handle","n.把手"
"32","immune","adj.免疫的"
"33","income","n.收入"
"34","industry","n.工业"
"35","jacket","n.夹克"
"36","journalism","n.新闻业"
"37","king","n.国王"
"38","laboratory","n.实验室"
"39","leader","n.领导者"
"40","learning","n.学习"
"41","letter","n.信件、字母"
"42","male","adj.男性的 / n.男性"
"43","mall","n.购物中心"
"44","mapping","n.绘图、制图"
"45","measurer","n.测量者"
"46","meat","n.肉"
"47","meeting","n.会议"
"48","menu","n.菜单"
"49","microscope","n.显微镜"
"50","moderate","adj.适度的、温和的"
