"1","climbing","n.攀登"
"2","corn","n.玉米"
"3","cycling","n.骑行"
"4","day","n.天、日子"
"5","decoration","n.装饰"
"6","equipment","n.设备"
"7","farming","n.务农、农业"
"8","frog","n.青蛙"
"9","government","n.政府"
"10","gym","n.健身房"
"11","human","n.人类"
"12","India","n.印度"
"13","ink","n.墨水"
"14","magazine","n.杂志"
"15","newspapers","n.报纸"
"16","powder","n.粉末"
"17","problem","n.问题"
"18","restaurant","n.餐馆"
"19","rice","n.大米"
"20","service","n.服务"
"21","silver","n.银、银器"
"22","smell","n.气味"
"23","space","n.空间"
"24","storm","n.暴风雨"
"25","tree","n.树"
"26","university","n.大学"
"27","website","n.网站"
"28","wedding","n.婚礼"
"29","street","n.街道"
"30","face","n.脸"
"31","blue","n.蓝色 / adj.蓝色的"
"32","drive","v.驾驶 / n.驱动"
"33","book","n.书"
"34","disease","n.疾病"
"35","Friday","n.星期五"
"36","November","n.十一月"
"37","bag","n.包"
"38","camel","n.骆驼"
"39","car","n.汽车"
"40","cheese","n.奶酪"
"41","chocolate","n.巧克力"
"42","clay","n.黏土"
"43","coach","n.教练"
"44","coin","n.硬币"
"45","cooking","n.烹饪"
"46","cooperation","n.合作"
"47","cotton","n.棉花"
"48","door","n.门"
"49","exercise","n.锻炼"
"50","farm","n.农场"
