"1","divorce","n.离婚 / v.与……离婚"
"2","sail","v.航行 / n.帆"
"3","battery","n.电池"
"4","treaty","n.条约"
"5","treatise","n.论文"
"6","glad","adj.高兴的"
"7","intelligence","n.智力、情报"
"8","origin","n.起源"
"9","original","adj.原始的 / n.原作"
"10","originality","n.独创性"
"11","reluctant","adj.不情愿的"
"12","reluctance","n.勉强、不愿意"
"13","embarrassing","adj.令人尴尬的"
"14","supportive","adj.支持的"
"15","consistent","adj.一致的、稳定的"
"16","awake","adj.醒着的"
"17","variation","n.变化"
"18","participate","v.参加"
"19","documentary","n.纪录片"
"20","fungus","n.真菌"
"21","earthquake","n.地震"
"22","collapse","v.倒塌 / n.崩溃"
"23","target","n.目标"
"24","manufacture","v.制造"
"25","manufacturer","n.制造商"
"26","cleaner","n.清洁工"
"27","reward","n.奖励"
"28","tradition","n.传统"
"29","rural","adj.农村的"
"30","accident","n.事故"
"31","navigate","v.导航"
"32","shadow","n.阴影"
"33","veil","n.面纱"
"34","herb","n.草本植物、药草"
"35","ecology","n.生态学"
"36","dioxide","n.二氧化物"
"37","sustainable","adj.可持续的"
"38","sustain","v.维持"
"39","gray","adj.灰色的"
"40","hothouse","n.温室"
"41","random","adj.随机的"
"42","engine","n.发动机"
"43","industrial","adj.工业的"
"44","flavour","n.味道"
"45","critic","n.评论家"
"46","railway","n.铁路"
"47","horizontal","adj.水平的"
"48","spaceship","n.宇宙飞船"
"49","compose","v.作曲、组成"
"50","composer","n.作曲家"
