"1","uniform","n.制服"
"2","vegetation","n.植物、植被"
"3","vision","n.视力、愿景"
"4","warm","adj.温暖的"
"5","waterfall","n.瀑布"
"6","weekend","n.周末"
"7","wheelchair","n.轮椅"
"8","whistle","n.口哨"
"9","word","n.单词"
"10","workshop","n.研讨会、车间"
"11","yoga","n.瑜伽"
"12","rope","n.绳子"
"13","robot","n.机器人"
"14","level","n.水平、程度"
"15","electronic","adj.电子的"
"16","young","adj.年轻的"
"17","TV","n.电视"
"18","shopping","n.购物"
"19","program","n.节目、计划"
"20","license","n.许可证"
"21","hour","n.小时"
"22","bar","n.酒吧、条"
"23","back","n.背部 / adv.回去"
"24","artist","n.艺术家"
"25","dark","adj.黑暗的"
"26","pilot","n.飞行员"
"27","fertilizer","n.肥料"
"28","message","n.信息"
"29","reduction","n.减少"
"30","cook","v.烹饪 / n.厨师"
"31","efficient","adj.高效的"
"32","machine","n.机器"
"33","modern","adj.现代的"
"34","line","n.线、行列"
"35","whale","n.鲸鱼"
"36","vegetarian","n.素食者"
"37","teenager","n.青少年"
"38","tank","n.水箱、坦克"
"39","accept","v.接受"
"40","accurate","adj.准确的"
"41","actor","n.演员"
"42","advertise","v.做广告"
"43","agency","n.机构、代理处"
"44","army","n.军队"
"45","arrow","n.箭"
"46","attacked","v.攻击"
"47","attitude","n.态度"
"48","Australian","adj.澳大利亚的 / n.澳大利亚人"
"49","avenue","n.大道"
"50","bank","n.银行"
