"1","father","n.父亲"
"2","complicated","adj.复杂的"
"3","breeding","n.繁殖、教养"
"4","duck","n.鸭子"
"5","temporary","adj.临时的"
"6","classification","n.分类"
"7","worst","adj.最糟的"
"8","issue","n.问题、议题"
"9","political","adj.政治的"
"10","lively","adj.活泼的"
"11","silent","adj.沉默的"
"12","entry","n.进入、条目"
"13","mammal","n.哺乳动物"
"14","consumption","n.消费"
"15","disabled","adj.残疾的"
"16","canal","n.运河"
"17","curved","adj.弯曲的"
"18","curtain","n.窗帘"
"19","tiger","n.老虎"
"20","crying","n.哭泣"
"21","scarf","n.围巾"
"22","patient","n.病人 / adj.耐心的"
"23","comfortable","adj.舒服的"
"24","observation","n.观察"
"25","flute","n.长笛"
"26","moist","adj.潮湿的"
"27","theme","n.主题"
"28","flight","n.航班、飞行"
"29","free entry","n.免费入场"
"30","model","n.模型、模特"
"31","grant","n.补助金"
"32","stranger","n.陌生人"
"33","erosion","n.侵蚀"
"34","reproduction","n.繁殖、复制"
"35","expansion","n.扩张"
"36","hairdresser","n.理发师"
"37","global","adj.全球的"
"38","leadership","n.领导力"
"39","self-employed","adj.自雇的"
"40","achievement","n.成就"
"41","situational","adj.情境的"
"42","aspiration","n.抱负、志向"
"43","innovation","n.创新"
"44","East","n.东方"
"45","postbox","n.邮筒"
"46","cooker","n.炉灶"
"47","guided tour","n.导览"
"48","solar","adj.太阳的"
"49","national","adj.国家的"
"50","after","prep.在……之后"
