"1","refreshment","n.点心、饮料"
"2","crocodile","n.鳄鱼"
"3","crime","n.犯罪"
"4","everyday","adj.日常的"
"5","remember","v.记得"
"6","extensive","adj.广泛的"
"7","repair","v.修理"
"8","reporter","n.记者"
"9","reputation","n.名声"
"10","researcher","n.研究员"
"11","reserve","n.预订、储备"
"12","residence","n.住所"
"13","resident","n.居民"
"14","resin","n.树脂"
"15","resistant","adj.有抵抗力的"
"16","respond","v.回应"
"17","responsibility","n.责任"
"18","responsible","adj.负责的"
"19","enlargement","n.扩大"
"20","encouraged","adj.受到鼓励的"
"21","earning","n.收入"
"22","road","n.道路"
"23","diversion","n.转移、绕行"
"24","route","n.路线"
"25","rubbish","n.垃圾"
"26","rule","n.规则"
"27","dishwasher","n.洗碗机"
"28","dish","n.盘子、菜肴"
"29","digestion","n.消化"
"30","running","n.跑步、运作"
"31","difficult","adj.困难的"
"32","diamond","n.钻石"
"33","salty","adj.咸的"
"34","deserve","v.值得"
"35","demand","n.需求"
"36","defense","n.防御"
"37","satellite","n.卫星"
"38","satisfactory","adj.令人满意的"
"39","deck","n.甲板、平台"
"40","scheme","n.计划、方案"
"41","scientist","n.科学家"
"42","score","n.得分"
"43","screen","n.屏幕"
"44","dance","n.舞蹈 / v.跳舞"
"45","seasoned","adj.经验丰富的 / 调过味的"
"46","cut","v.切、削减"
"47","second","num.第二"
"48","secondary","adj.次要的、中等的"
"49","cultural","adj.文化的"
"50","segment","n.部分、片段"
