1,spoon,n.勺子
2,meditation,n.冥想
3,anxiety,n.焦虑
4,quiz,n.小测验
5,vocabulary,n.词汇
6,podcast,n.播客
7,bilingual,adj.双语的
8,playground,n.操场
9,grammar,n.语法
10,fit,adj.健康的 / v.适合
11,moon,n.月亮
12,destination,n.目的地
13,recovery,n.恢复
14,atlas,n.地图册
15,shirt,n.衬衫
16,electrician,n.电工
17,dust,n.灰尘
18,golden,adj.金色的
19,diameter,n.直径
20,tube,n.管子
21,cloudy,adj.多云的
22,litre,n.升
23,decorate,v.装饰
24,publication,n.出版物
25,capitalism,n.资本主义
26,practise,v.练习
27,payment,n.付款
28,grandparent,n.祖父或祖母
29,graph,n.图表
30,evaluate,v.评估
31,habit,n.习惯
32,grandmother,n.祖母
33,decade,n.十年
34,rough,adj.粗糙的
35,sheep,n.羊
36,colony,n.殖民地
37,settlement,n.定居点
38,fat,adj.胖的 / n.脂肪
39,head,n.头
40,balancing,n.平衡
41,pass,v.通过
42,capital,n.首都、资本
43,simple,adj.简单的
44,chat,v.聊天 / n.聊天
45,detail,n.细节
46,delivery,n.递送、分娩
47,tidy,adj.整洁的
48,team,n.团队
49,graphic,adj.图形的、形象的
50,assumption,n.假设
