"1","west","n.西方"
"2","adhesive","n.黏合剂 / adj.黏合的"
"3","wheel","n.轮子"
"4","wide","adj.宽的"
"5","addictive","adj.使人上瘾的"
"6","ad","n.广告"
"7","act","n.行为 / v.行动"
"8","wooden","adj.木制的"
"9","woodland","n.林地"
"10","across","prep.穿过"
"11","workload","n.工作量"
"12","workplace","n.工作场所"
"13","accommodation","n.住宿"
"14","wound","n.伤口 / v.使受伤"
"15","accent","n.口音"
"16","seminar","n.研讨会"
"17","challenge","n.挑战"
"18","maturity","n.成熟"
"19","advisor","n.顾问"
"20","demolish","v.拆除"
"21","consultation","n.咨询"
"22","boiler","n.锅炉"
"23","supervisor","n.主管"
"24","evolution","n.进化"
"25","lizard","n.蜥蜴"
"26","vegetable","n.蔬菜"
"27","aeroplane","n.飞机"
"28","behavior","n.行为"
"29","claw","n.爪子"
"30","fragile","adj.易碎的"
"31","elephant","n.大象"
"32","extinct","adj.灭绝的"
"33","plantation","n.种植园"
"34","preposition","n.介词"
"35","vertical","adj.垂直的"
"36","grain","n.谷物、颗粒"
"37","worldwide","adj.全球的"
"38","swimmer","n.游泳者"
"39","sexes","n.性别"
"40","companion","n.同伴"
"41","species","n.物种"
"42","straw","n.稻草、吸管"
"43","necklace","n.项链"
"44","diet","n.饮食"
"45","fossil","n.化石"
"46","defence","n.防御"
"47","defeat","v.击败 / n.失败"
"48","humidity","n.湿度"
"49","horn","n.角、喇叭"
"50","divorced","adj.离婚的"
